"Month","Type of tourist","Overnight Stays"
"2018-02","Inbound",9666.610830744465
"2018-02","Domestic",15850.235625679234
"2018-03","Inbound",17042.65477709792
"2018-03","Domestic",18823.758790127726
"2018-04","Inbound",14069.153655649923
"2018-04","Domestic",15045.310021339776
"2018-05","Inbound",16287.25330631445
"2018-05","Domestic",9831.481331653948
"2018-06","Inbound",9302.245342930757
"2018-06","Domestic",25969.107936448552
"2018-07","Inbound",3332.0404230844224
"2018-07","Domestic",19158.78335801362
"2018-08","Inbound",49562.42073584668
"2018-08","Domestic",27605.778826594535
"2018-09","Inbound",2719.582450032149
"2018-09","Domestic",23442.46600875756
"2018-10","Inbound",8850.263804153932
"2018-10","Domestic",18975.19065155561
"2018-11","Inbound",14707.226412161259
"2018-11","Domestic",16550.01618475703
"2018-12","Inbound",17132.44399940087
"2018-12","Domestic",16983.59748304747
"2019-01","Inbound",14338.846673861677
"2019-01","Domestic",22154.46249039915
"2019-02","Inbound",13384.574806023324
"2019-02","Domestic",14763.315169570127
"2019-03","Inbound",16687.69789752794
"2019-03","Domestic",17456.725486101866
"2019-04","Inbound",15235.674705065834
"2019-04","Domestic",14482.595338310812
"2019-05","Inbound",19756.8339189734
"2019-05","Domestic",14586.24234911049
"2019-06","Inbound",6897.628869800578
"2019-06","Domestic",25514.594037669616
"2019-07","Inbound",4856.827662625198
"2019-07","Domestic",22879.497990406908
"2019-08","Inbound",52342.36027186458
"2019-08","Domestic",33676.19101950924
"2019-09","Inbound",4103.579530940215
"2019-09","Domestic",25222.54549695093
"2019-10","Inbound",11081.144435124683
"2019-10","Domestic",23486.526892927122
"2019-11","Inbound",13247.155679674885
"2019-11","Domestic",26955.233288075913
"2019-12","Inbound",17103.360236254994
"2019-12","Domestic",27572.57524319802
"2020-01","Inbound",16211.00780310028
"2020-01","Domestic",24327.024159453926
"2020-02","Inbound",15527.659529305181
"2020-02","Domestic",16241.415854662879
"2020-03","Inbound",1296.1865612925192
"2020-03","Domestic",16101.799689760162
"2020-04","Inbound",71.41500170885521
"2020-04","Domestic",394.7258057679608
"2020-05","Inbound",49.171653130420616
"2020-05","Domestic",151.5890537239245
"2020-06","Inbound",99.29766610342769
"2020-06","Domestic",6894.742897909432
"2020-07","Inbound",125.22793478747846
"2020-07","Domestic",32284.86998161979
"2020-08","Inbound",180.93897358126796
"2020-08","Domestic",35782.01014464493
"2020-09","Inbound",364.3898512931458
"2020-09","Domestic",24547.532458021084
"2020-10","Inbound",1086.0971169435252
"2020-10","Domestic",21776.5166443243
"2020-11","Inbound",1333.1551561955278
"2020-11","Domestic",22097.561487229155
"2020-12","Inbound",1479.677742279909
"2020-12","Domestic",27938.414700004745
"2021-01","Inbound",2342.151
"2021-01","Domestic",30553.419
"2021-02","Inbound",1250.771
"2021-02","Domestic",21794.021
"2021-03","Inbound",1136.27
"2021-03","Domestic",22466.082
"2021-04","Inbound",1393.891
"2021-04","Domestic",22860.204
"2021-05","Inbound",1186.067
"2021-05","Domestic",45029.407
"2021-06","Inbound",1174.27
"2021-06","Domestic",26069.288
"2021-07","Inbound",1721.568
"2021-07","Domestic",59879.539
"2021-08","Inbound",1897.517
"2021-08","Domestic",30082.489
"2021-09","Inbound",2374.947
"2021-09","Domestic",18998.504
"2021-10","Inbound",5024.976
"2021-10","Domestic",23105.432
"2021-11","Inbound",4908.785
"2021-11","Domestic",31474.733
"2021-12","Inbound",7360.168
"2021-12","Domestic",21018.084
"2022-01","Inbound",10615.027
"2022-01","Domestic",34353.371
"2022-02","Inbound",13206.486
"2022-02","Domestic",28567.286
"2022-03","Inbound",20215.55
"2022-03","Domestic",28204.451
"2022-04","Inbound",29395.953
"2022-04","Domestic",40267.752
"2022-05","Inbound",16545.273
"2022-05","Domestic",31569.091
"2022-06","Inbound",12055.404
"2022-06","Domestic",18237.189
"2022-07","Inbound",18939.346
"2022-07","Domestic",71350.669
"2022-08","Inbound",22314.547
"2022-08","Domestic",34453.184
"2022-09","Inbound",30331.272
"2022-09","Domestic",16913.878
"2022-10","Inbound",30483.525
"2022-10","Domestic",19286.564
"2022-11","Inbound",29667.311
"2022-11","Domestic",29206.442
"2022-12","Inbound",36958.487
"2022-12","Domestic",17196.516
"2023-01","Inbound",35031.946
"2023-01","Domestic",34512.713
"2023-02","Inbound",35628.208
"2023-02","Domestic",29355.861
"2023-03","Inbound",56788.224
"2023-03","Domestic",35352.724
"2023-04","Inbound",42783.599
"2023-04","Domestic",38119.51
"2023-05","Inbound",31927.199
"2023-05","Domestic",27151.761
"2023-06","Inbound",59436.324
"2023-06","Domestic",77842.617
"2023-07","Inbound",16326.708
"2023-07","Domestic",57518.104
"2023-08","Inbound",26729.514
"2023-08","Domestic",37989.517
"2023-09","Inbound",28142.271
"2023-09","Domestic",34493.628
"2023-10","Inbound",30203.404
"2023-10","Domestic",39443.452
"2023-11","Inbound",34673.36
"2023-11","Domestic",49168.161
"2023-12","Inbound",34628.588
"2023-12","Domestic",34393.136
"2024-01","Inbound",45840.491
"2024-01","Domestic",41292.064
"2024-02","Inbound",50816.132
"2024-02","Domestic",40587.636
"2024-03","Inbound",66453.818
"2024-03","Domestic",44765.249
"2024-04","Inbound",35516.025
"2024-04","Domestic",41380.913
"2024-05","Inbound",41832.171
"2024-05","Domestic",33300.628
"2024-06","Inbound",75612.2
"2024-06","Domestic",101339.809
"2024-07","Inbound",35711.261
"2024-07","Domestic",51037.516
"2024-08","Inbound",36346.563
"2024-08","Domestic",35903.973
"2024-09","Inbound",37072.805
"2024-09","Domestic",33423.551
"2024-10","Inbound",43096.04
"2024-10","Domestic",30939.337
"2024-11","Inbound",43134.46
"2024-11","Domestic",44552.212
"2024-12","Inbound",48795.226
"2024-12","Domestic",40094.665
